"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/newaccident/index.js", "JavaScript", 0, 93, 12, 20, 125
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/newaccident/package.json", "JSON", 10, 0, 0, 1, 11
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/newcom/index.js", "JavaScript", 0, 91, 16, 22, 129
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/newcom/package.json", "JSON", 10, 0, 0, 1, 11
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/newlead/index.js", "JavaScript", 0, 95, 14, 21, 130
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/newlead/package.json", "JSON", 10, 0, 0, 1, 11
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/newtech/index.js", "JavaScript", 0, 91, 16, 22, 129
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/newtech/package.json", "JSON", 10, 0, 0, 1, 11
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/whatsapp/agentCon.js", "JavaScript", 0, 165, 42, 46, 253
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/whatsapp/index.js", "JavaScript", 0, 90, 17, 20, 127
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/whatsapp/package.json", "JSON", 23, 0, 0, 1, 24
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/whatsapp/regal-cairn-482312-r4-43c4d2dfa5ac.json", "JSON", 13, 0, 1, 0, 14
"/Users/meta/Desktop/github/Dialogflow_Whatsapp/whatsapp/sessionManager.js", "JavaScript", 0, 76, 12, 23, 111
"Total", "-", 76, 701, 130, 179, 1086
